DrugID	TargetID
Amoxapine	2562
Amoxapine	2557
Amoxapine	59340
Amoxapine	1812
Amoxapine	2563
Amoxapine	147
Amoxapine	3351
Amoxapine	148
Amoxapine	2556
Amoxapine	3269
Amoxapine	2558
Amoxapine	2564
Amoxapine	6531
Amoxapine	6532
Amoxapine	2565
Amoxapine	1814
Amoxapine	3357
Amoxapine	3362
Amoxapine	3359
Amoxapine	2555
Amoxapine	2561
Amoxapine	3363
Amoxapine	2559
Amoxapine	2567
Amoxapine	152
Amoxapine	3356
Amoxapine	2568
Amoxapine	55879
Amperozide	3356
Amphetamine	9607
Amphetamine	151
Amphetamine	1813
Amphetamine	152
Amphetamine	134864
Amphetamine	155
Amphetamine	4128
Amphetamine	154
Amphetamine	6530
Amphetamine	147
Amphetamine	153
Amphetamine	4129
Amphetamine	6532
Amphetamine	148
Amphetamine	150
Amphetamine	146
Amphetamine	6531
Amphetamine	6571
Ampicillin	7010
Ampicillin	6565
Ampicillin	6564
Ampiroxicam	5742
Ampiroxicam	5743
Ampreloxetine	6530
Ampreloxetine	6532
Amrinone	5144
Amrinone	5139
Amrinone	5143
Amrinone	7124
Amrinone	5141
Amrinone	5140
Amrinone	5142
Amrubicin	7153
Amsacrine	3757
Amsacrine	5004
Amsacrine	7155
Amsacrine	7153
Amsacrine	213
Amuvatinib	5156
Amuvatinib	3815
Amuvatinib	4233
Amuvatinib	2322
Amuvatinib	5979
Amuvatinib	5888
Amyl Nitrite	4881
Amylamine	5644
Amylmetacresol	6326
Amylocaine	6326
Amylocaine	6335
Amylocaine	6334
Amylocaine	6328
Amylocaine	11280
Amylocaine	6331
Amylocaine	6332
Amylocaine	6336
Amylocaine	6323
Amylocaine	6329
Anacaulase	12
Anacaulase	2
Anacetrapib	1071
Anagliptin	1803
Anagrelide	5139
Anakinra	3554
Anamorelin	2548
Anamorelin	23193
Anamorelin	2595
Anamorelin	2693
Anastrozole	1588
Anatibant	624
Ancestim	3815
Ancrod	2243
Andarine	367
Andexanet alfa	7035
Andrographolide	3553
Andrographolide	3569
